Date,Close/Last,Volume,Open,High,Low
05/03/2018,$17.70,4975290,$17.895,$18.015,$17.27
05/02/2018,$18.035,2820488,$17.91,$18.20,$17.88
05/01/2018,$17.905,2262534,$17.89,$18.065,$17.7575
04/30/2018,$18.04,4329336,$17.845,$18.13,$17.845
04/27/2018,$17.875,3612900,$17.96,$18.235,$17.795
04/26/2018,$18.155,4125526,$18.185,$18.275,$18.08
04/25/2018,$18.125,3626038,$17.765,$18.13,$17.67
04/24/2018,$17.845,4152436,$17.865,$18.115,$17.70
04/23/2018,$17.89,3436280,$17.55,$17.91,$17.41
04/20/2018,$17.63,4840068,$17.81,$17.885,$17.49
04/19/2018,$18.01,5248238,$17.915,$18.27,$17.915
04/18/2018,$17.875,3964836,$17.555,$17.9999,$17.53
04/17/2018,$17.42,3255180,$17.36,$17.51,$17.20
04/16/2018,$17.315,3473372,$17.50,$17.545,$17.275
04/13/2018,$17.565,7177392,$17.355,$17.665,$17.305
04/12/2018,$17.26,5546798,$17.19,$17.29,$17.06
04/11/2018,$17.18,4750432,$16.835,$17.255,$16.765
04/10/2018,$16.815,6450216,$16.68,$16.9775,$16.53
04/09/2018,$16.37,4564916,$16.665,$16.68,$16.31
04/06/2018,$16.51,5625064,$16.78,$16.98,$16.405
04/05/2018,$16.90,7113500,$16.26,$17.0005,$16.175
04/04/2018,$16.225,6972500,$15.84,$16.24,$15.73
04/03/2018,$16.15,7838556,$15.495,$16.15,$15.38
04/02/2018,$15.34,4644650,$15.63,$15.71,$15.125
03/29/2018,$15.735,4214816,$15.35,$15.7475,$15.29
03/28/2018,$15.255,4672970,$15.31,$15.385,$15.11
03/27/2018,$15.33,7370168,$15.00,$15.56,$14.90
03/26/2018,$14.92,7127096,$15.07,$15.08,$14.7125
03/23/2018,$14.985,6667594,$15.27,$15.375,$14.975
03/22/2018,$15.13,3882752,$15.565,$15.565,$15.1225
03/21/2018,$15.725,8111054,$15.13,$15.805,$15.13
03/20/2018,$15.02,4768526,$15.00,$15.08,$14.9275
03/19/2018,$14.90,2756318,$15.13,$15.18,$14.875
03/16/2018,$15.18,5243654,$14.93,$15.245,$14.855
03/15/2018,$14.945,4340356,$15.03,$15.075,$14.8275
03/14/2018,$14.96,2567774,$15.08,$15.12,$14.89
03/13/2018,$14.98,4097086,$15.10,$15.15,$14.94
03/12/2018,$15.055,4108766,$15.20,$15.23,$15.05
03/09/2018,$15.18,3643360,$15.22,$15.22,$15.05
03/08/2018,$15.07,4242098,$15.25,$15.285,$14.985
03/07/2018,$15.24,4209882,$15.39,$15.455,$15.0425
03/06/2018,$15.46,2965366,$15.63,$15.65,$15.42
03/05/2018,$15.515,4588872,$15.36,$15.595,$15.31
03/02/2018,$15.445,7990506,$15.47,$15.505,$15.125
03/01/2018,$15.525,6600110,$15.885,$16.005,$15.50
02/28/2018,$15.73,5859382,$16.305,$16.40,$15.725
02/27/2018,$16.215,4348170,$16.165,$16.3601,$16.115
02/26/2018,$16.25,3995916,$16.115,$16.275,$16.02
02/23/2018,$16.075,3769544,$15.865,$16.105,$15.76
02/22/2018,$15.76,3028388,$15.62,$16.04,$15.525
02/21/2018,$15.545,3298856,$15.615,$15.79,$15.545
02/20/2018,$15.62,2835536,$15.775,$15.80,$15.585
02/16/2018,$15.76,3893874,$15.54,$15.80,$15.51
02/15/2018,$15.615,4929686,$15.845,$15.87,$15.415
02/14/2018,$15.86,6827078,$15.155,$16.0075,$15.055
02/13/2018,$15.325,7482784,$15.10,$15.395,$15.07
02/12/2018,$15.215,6170536,$15.23,$15.40,$15.085
02/09/2018,$15.055,8988874,$14.98,$15.125,$14.60
02/08/2018,$14.88,8517170,$15.36,$15.47,$14.88
02/07/2018,$15.34,11024758,$15.855,$15.965,$15.33
02/06/2018,$15.965,6586886,$15.685,$16.20,$15.535
02/05/2018,$16.04,7124692,$16.69,$16.875,$15.925
02/02/2018,$16.845,5309978,$17.025,$17.145,$16.795
02/01/2018,$17.32,3885484,$17.09,$17.335,$16.965
01/31/2018,$17.075,5316462,$17.305,$17.425,$17.01
01/30/2018,$17.265,6723454,$17.54,$17.565,$17.25
01/29/2018,$17.72,4053562,$17.89,$17.975,$17.6675
01/26/2018,$18.015,2834968,$17.98,$18.105,$17.925
01/25/2018,$17.975,4846550,$18.20,$18.325,$17.89
01/24/2018,$18.10,5615148,$18.145,$18.2998,$17.945
01/23/2018,$18.035,5624532,$18.10,$18.205,$17.93
01/22/2018,$18.035,5171766,$18.105,$18.12,$17.885
01/19/2018,$18.075,3679584,$18.105,$18.20,$17.94
01/18/2018,$18.135,4082080,$18.47,$18.47,$18.065
01/17/2018,$18.48,4862028,$18.495,$18.6883,$18.175
01/16/2018,$18.41,3836782,$18.655,$18.815,$18.405
01/12/2018,$18.57,3559190,$18.37,$18.60,$18.23
01/11/2018,$18.365,3899648,$18.285,$18.63,$18.27
01/10/2018,$18.26,4452292,$18.445,$18.63,$18.195
01/09/2018,$18.475,5182592,$18.335,$18.69,$18.24
01/08/2018,$18.33,5053104,$18.295,$18.445,$18.20
